Genes	ctrl_1	ctrl_2	ctrl_3	ctrl_4	ctrl_5	trt_1	trt_2	trt_3	trt_4	trt_5
A1BG	933	1082	1137	1810	1942	160	451	652	324	223
A1CF	7	35	13	52	121	62	54	35	190	136
A2M	3226	1029	1415	1904	645	1734	574	885	766	1475
A2ML1	562	1253	835	1266	2176	9739	2037	6439	3170	7907
A3GALT2	2343	2607	968	2223	1506	848	3225	1249	1199	1496
A4GALT	112	85	371	266	29	487	39	346	257	86
A4GNT	486	1370	434	529	418	334	1339	1145	480	1011
AAAS	1309	1397	3354	915	1248	741	2037	616	984	1039
AACS	154	280	257	408	555	34	74	109	189	108
AADAC	813	619	570	612	261	558	1461	1271	724	716
AADACL2	923	166	582	1749	1255	1354	398	424	930	1577
AADACL3	1356	816	1876	347	1398	534	1851	499	1419	1356
AADACL4	4461	1111	1299	2215	646	1373	3734	3446	1915	579
AADAT	1675	1377	933	1183	887	631	1745	1231	2367	1825
AAGAB	596	897	453	1168	493	5459	2147	3565	5600	3791
AAK1	281	290	248	983	560	305	159	913	1091	1125
AAMDC	1636	230	1441	2518	2086	3269	1747	1303	2311	1554
AAMP	2015	657	2958	2886	2344	2082	1710	473	3340	1348
AANAT	1617	413	3758	1701	2686	1329	2150	717	1030	1394
AAR2	2201	1352	2243	2273	1342	942	1525	1398	635	1433
AARD	570	320	283	410	335	463	312	475	284	522
AARS	1301	593	169	882	1408	1477	802	2176	1331	896
AARS2	776	159	802	1587	425	1352	1485	1096	966	902
AARSD1	1278	1066	839	362	1580	134	18	209	238	206
AASDH	1208	2022	3459	1345	2067	307	2391	760	524	1957
AASDHPPT	134	101	171	157	122	280	234	204	142	143
AASS	202	152	184	29	22	163	84	296	74	88
AATF	336	1653	840	1508	978	1040	663	855	762	721
AATK	522	1363	1309	868	1376	2030	1557	236	778	585
ABAT	1364	944	3523	2447	2890	1586	8058	4801	8022	11455
ABCA1	117	525	166	168	340	272	521	208	398	368
ABCA10	331	329	273	669	174	1285	956	2216	845	1209
ABCA12	414	305	660	736	224	293	571	133	159	459
ABCA13	135	62	59	65	48	193	232	241	786	288
ABCA2	116	68	113	71	251	265	174	93	259	143
ABCA3	1280	703	900	533	815	16286	6101	10205	4623	3660
ABCA4	280	719	458	960	339	264	253	389	402	93
ABCA5	1463	1089	1220	1542	612	2269	1377	721	1161	2378
ABCA6	913	822	1313	5517	7697	4155	1190	1717	1998	1870
ABCA7	1414	794	2153	2310	1928	9384	3331	3488	5780	5289
ABCA8	138	138	157	220	197	160	45	110	48	184
ABCA9	230	274	589	248	240	161	340	393	173	56
ABCB1	3150	185	4790	657	1072	1622	381	1892	2021	2212
ABCB10	1446	1227	1390	432	638	1219	1955	1616	856	894
ABCB11	305	549	877	383	1209	1679	2407	560	1142	1558
ABCB4	949	1371	2493	708	4033	629	436	1777	1017	812
ABCB5	581	1124	538	1415	3210	1929	2680	1313	1929	1075
ABCB6	713	1584	1648	2408	1329	631	398	462	328	306
ABCB7	959	765	1951	520	1898	365	627	1725	1818	1354
ABCB8	285	717	1232	341	288	838	720	416	442	749
ABCB9	1227	1538	2156	2972	2750	500	633	234	527	355
ABCC1	1284	862	979	364	948	1315	894	248	1067	268
ABCC10	25	75	103	128	383	105	63	53	210	55
ABCC11	968	1046	2124	846	348	1722	2645	903	2609	2157
ABCC12	922	670	1454	663	756	429	496	692	297	360
ABCC2	1609	1258	2237	2290	849	1360	1336	1174	1109	1740
ABCC3	2294	936	1717	2599	609	766	420	1603	478	935
ABCC4	384	938	1112	310	794	1048	698	514	685	301
ABCC5	1743	1344	1497	730	3897	1462	1202	837	1211	4235
ABCC6	1056	1064	1730	2179	1170	955	1103	1388	2077	1512
